"","password","result"
"1","KOMSTAT","tidak_valid"
"2","PenjagaJanji","rendah"
"3","1Januari1980","rendah"
"4","jessica123","rendah"
"5","tikusbertopi45","rendah"
"6","FireFox!123","sedang"
"7","cleop4tr4","rendah"
"8","citrusjuice","rendah"
"9","muhammadtahta","rendah"
"10","Alex44T0x","rendah"
"11","andoconnect","rendah"
"12","GLORYGLORYMANUNITED!!!","rendah"
"13","44+66=100","tidak_valid"
"14","Lorem Ipsum","rendah"
"15","emyu_10hag","rendah"
"16","kursiGoyangkakekku","rendah"
"17","RubYMonsTer9","rendah"
"18","asal_ikut","rendah"
"19","symph0ny@museum","rendah"
"20","109690101010","rendah"
"21","rubikCubeSpeed","rendah"
"22","MOMGETtheCAMERA!!!!1!","tinggi"
"23","KLouisss5","rendah"
"24","iLovePDF.jpg","rendah"
"25","rumble_rac3R","tinggi"
"26","dan1p2k3","rendah"
"27","koMstAt_LanJuT%","rendah"
"28","lesparedes","rendah"
"29","HeadsetG@m1ng","rendah"
"30","LCar-9","tidak_valid"
"31","1,1,1,1","tidak_valid"
"32","Y0zjhF!j&0)","sedang"
"33","SeeeeN0#o13","sedang"
"34","thelegendofR","rendah"
"35","Gambar3Dimen$i","tinggi"
"36","kriptonium_","rendah"
"37","Helsinki-rac3r","rendah"
"38","PunyaPacr","rendah"
"39","passsword","rendah"
"40","carla18cardy","rendah"
"41","Boiling_Wat@r","rendah"
"42","trustw0rThy","rendah"
